"Administered_Dose1_Pop_Pct","Administered_Dose1_Recip","Administered_Dose1_Recip_12Plus","Administered_Dose1_Recip_12PlusPop_Pct","Administered_Dose1_Recip_18Plus","Administered_Dose1_Recip_18PlusPop_Pct","Administered_Dose1_Recip_5Plus","Administered_Dose1_Recip_5PlusPop_Pct","Administered_Dose1_Recip_65Plus","Administered_Dose1_Recip_65PlusPop_Pct","Booster_Doses","Booster_Doses_18Plus","Booster_Doses_18Plus_Vax_Pct","Booster_Doses_50Plus","Booster_Doses_50Plus_Vax_Pct","Booster_Doses_65Plus","Booster_Doses_65Plus_Vax_Pct","Booster_Doses_Vax_Pct","Census2019_12PlusPop","Completeness_pct","County","Date","FIPS","SVI_CTGY","Series_Complete_12Plus","Series_Complete_12PlusPop_Pct","Series_Complete_12PlusPop_Pct_SVI","Series_Complete_18Plus","Series_Complete_18PlusPop_Pct","Series_Complete_18PlusPop_Pct_SVI","Series_Complete_5Plus","Series_Complete_5PlusPop_Pct","Series_Complete_5PlusPop_Pct_SVI","Series_Complete_5PlusPop_Pct_UR_Equity","Series_Complete_65Plus","Series_Complete_65PlusPop_Pct","Series_Complete_65PlusPop_Pct_SVI","Series_Complete_Pop_Pct","Series_Complete_Pop_Pct_SVI","Series_Complete_Yes","StateAbbr","StateName","metro_status","series_complete_12PlusPop_pct_UR_Equity","series_complete_18PlusPop_pct_UR_Equity","series_complete_65PlusPop_pct_UR_Equity","series_complete_pop_pct_UR_Equity"
48.1,26859,26506,55.7,24889,58,26858,51.1,7173,80.4,5485,5468,27.3,4293,36.2,2727,45.7,25.5,47574,92.7,"Autauga County","2021-12-30","01001","B",21340,44.9,"7",20061,46.8,"7",21470,40.8,"7",3,5972,66.9,"7",38.4,"6",21470,"AL ","Alabama","Metro",3,3,3,2
60.3,134599,133258,69.2,126778,72.2,134593,63.7,46713,95,29038,28903,28.7,24296,37.2,17185,45.5,27.4,192649,92.7,"Baldwin County","2021-12-30","01003","A",105633,54.8,"4",100703,57.3,"4",106165,50.3,"4",4,37739,80.6,"4",47.6,"3",106166,"AL ","Alabama","Metro",4,4,4,3
51.6,12735,12653,59.1,12053,61.5,12734,54.5,3965,81.6,2363,2355,23.9,2112,33.7,1509,44.3,22.8,21404,92.7,"Barbour County","2021-12-30","01005","D",10314,48.2,"15",9847,50.2,"16",10355,44.3,"15",7,3407,70.1,"16",41.9,"15",10355,"AL ","Alabama","Non-metro",7,8,8,7
39.8,8920,8870,45.5,8462,47.4,8917,42.2,2522,67.6,1828,1820,26.3,1577,36.3,1061,47.3,25.1,19480,92.7,"Bibb County","2021-12-30","01007","C",7276,37.4,"10",6930,38.9,"10",7293,34.5,"10",2,2242,60.1,"11",32.6,"10",7294,"AL ","Alabama","Metro",2,2,3,2
35.7,20659,20537,41.7,19610,44,20655,38,6549,60.6,4253,4245,26,3646,35.2,2547,44.7,24.9,49234,92.7,"Blount County","2021-12-30","01009","B",17041,34.6,"6",16306,36.6,"6",17088,31.4,"6",2,5695,52.7,"7",29.6,"5",17088,"AL ","Alabama","Metro",2,2,3,1
59.1,5973,5918,68.2,5564,69.6,5972,62.6,1598,93.4,1130,1125,25.1,967,35.8,607,46.2,23.5,8677,92.7,"Bullock County","2021-12-30","01011","D",4774,55,"16",4485,56.1,"16",4805,50.4,"16",8,1315,76.9,"16",47.6,"15",4805,"AL ","Alabama","Non-metro",8,8,8,7
47,9133,9084,54.5,8656,57,9133,49.8,3111,76.8,1737,1736,25.3,1498,33.4,1048,40.8,24.1,16675,92.7,"Butler County","2021-12-30","01013","D",7202,43.2,"15",6864,45.2,"15",7222,39.4,"14",6,2570,63.5,"15",37.1,"14",7222,"AL ","Alabama","Non-metro",7,7,7,6
55.2,62731,61702,63.1,58819,66,62728,58.6,18745,91.2,13733,13705,28.2,11552,37.9,7838,48.3,26.9,97757,92.7,"Calhoun County","2021-12-30","01015","D",50804,52,"16",48654,54.6,"16",51063,47.7,"15",3,16227,79,"16",44.9,"15",51063,"AL ","Alabama","Metro",4,4,4,3
35.4,11762,11680,40.8,11202,42.5,11762,37.5,3916,58.3,2805,2801,29.8,2444,38.1,1618,47.6,28.6,28624,92.7,"Chambers County","2021-12-30","01017","C",9771,34.1,"10",9393,35.7,"10",9804,31.3,"10",6,3396,50.6,"11",29.5,"9",9804,"AL ","Alabama","Non-metro",6,6,7,5
36.9,9677,9643,41.8,9382,44.2,9677,38.7,3978,64.5,2247,2245,29.3,2002,36.4,1429,43.5,28.5,23072,92.7,"Cherokee County","2021-12-30","01019","B",7866,34.1,"6",7655,36,"6",7874,31.5,"6",6,3282,53.2,"7",30.1,"6",7874,"AL ","Alabama","Non-metro",6,6,7,6
41.7,18547,18364,49,17440,51.5,18546,44.5,5689,74.9,3536,3527,24.6,3092,33.6,2137,43.5,23.3,37470,92.7,"Chilton County","2021-12-30","01021","D",15127,40.4,"15",14365,42.5,"15",15201,36.4,"14",2,4910,64.6,"15",34.2,"14",15201,"AL ","Alabama","Metro",3,3,3,2
77.7,9782,9723,88.2,9353,92.5,9778,82,3453,95,2185,2178,28.7,1926,37,1328,46.6,27.8,11029,92.7,"Choctaw County","2021-12-30","01023","D",7842,71.1,"16",7579,75,"16",7854,65.9,"16",8,2849,95,"16",62.4,"16",7854,"AL ","Alabama","Non-metro",8,8,8,8
60.3,14236,14134,69.3,13449,72.3,14234,64,4441,91.7,3129,3127,28.7,2759,38.6,1858,49.3,27.3,20387,92.7,"Clarke County","2021-12-30","01025","D",11431,56.1,"16",10892,58.6,"16",11461,51.5,"16",8,3772,77.9,"16",48.5,"15",11461,"AL ","Alabama","Non-metro",8,8,8,7
49.3,6519,6491,56.5,6269,59.3,6519,52,2241,80.5,1239,1234,23.7,1049,30.6,709,38.3,22.9,11480,92.7,"Clay County","2021-12-30","01027","C",5392,47,"11",5210,49.3,"11",5403,43.1,"11",7,1852,66.5,"11",40.8,"11",5403,"AL ","Alabama","Non-metro",7,7,7,7
36.2,5400,5355,42.2,5182,44.9,5400,38.5,1983,65.9,1241,1237,28.7,1071,36.1,751,44.2,27.8,12695,92.7,"Cleburne County","2021-12-30","01029","C",4441,35,"10",4304,37.3,"10",4462,31.8,"10",6,1701,56.5,"11",29.9,"9",4462,"AL ","Alabama","Non-metro",6,6,7,5
46.4,24292,24070,54.3,22902,57.3,24289,49.4,7448,82.5,4697,4682,24.9,4051,35.4,3053,46.8,23.7,44289,92.7,"Coffee County","2021-12-30","01031","C",19717,44.5,"11",18841,47.2,"11",19820,40.3,"11",7,6530,72.3,"12",37.9,"10",19821,"AL ","Alabama","Non-metro",7,7,8,6
54.4,30078,29818,62.7,28361,64.9,30078,57.7,9670,87.4,7074,7063,29.5,6031,38.7,4186,49.2,28,47584,92.7,"Colbert County","2021-12-30","01033","B",25127,52.8,"8",23949,54.8,"8",25234,48.4,"7",3,8502,76.8,"8",45.7,"7",25234,"AL ","Alabama","Metro",4,4,4,3
52.6,6352,6317,60.4,6036,62.9,6352,55.6,2259,79.8,1208,1207,26,1065,32.9,709,39.4,24.9,10454,92.7,"Conecuh County","2021-12-30","01035","D",4837,46.3,"15",4650,48.5,"15",4857,42.5,"15",7,1798,63.5,"15",40.3,"15",4857,"AL ","Alabama","Non-metro",7,7,7,7
45.7,4869,4853,50.9,4705,52.8,4868,47.7,1896,73.8,1275,1272,32,1137,38.5,788,48,31.1,9536,92.7,"Coosa County","2021-12-30","01037","C",4100,43,"11",3977,44.6,"11",4104,40.2,"11",7,1643,64,"11",38.5,"10",4104,"AL ","Alabama","Non-metro",7,7,7,6
44.4,16465,16409,51.8,15804,54.7,16465,47.2,6097,77,3243,3239,25.1,2862,31.7,2093,40.7,24.1,31686,92.7,"Covington County","2021-12-30","01039","D",13418,42.3,"15",12919,44.7,"15",13441,38.6,"14",6,5145,65,"15",36.3,"14",13441,"AL ","Alabama","Non-metro",7,7,7,6
39.6,5459,5418,46.1,5197,48.9,5459,42.1,1958,73.3,1130,1126,26.2,979,34,677,40.5,25.3,11744,92.7,"Crenshaw County","2021-12-30","01041","C",4458,38,"10",4294,40.4,"11",4472,34.5,"10",6,1672,62.6,"11",32.5,"10",4472,"AL ","Alabama","Non-metro",6,7,7,6
43.1,36073,35867,50.3,34536,53.2,36070,45.9,12166,77.3,8785,8766,29.8,7549,39.2,5400,49.7,28.8,71308,92.7,"Cullman County","2021-12-30","01043","C",30430,42.7,"11",29373,45.2,"11",30525,38.8,"10",6,10856,69,"11",36.4,"10",30525,"AL ","Alabama","Non-metro",7,7,7,6
59.7,29344,29079,70,28083,73.9,29344,63.9,7255,85.3,4541,4534,18.7,3991,29.9,2894,44.6,18,41540,92.7,"Dale County","2021-12-30","01045","D",25057,60.3,"16",24263,63.9,"16",25182,54.9,"16",8,6492,76.4,"16",51.2,"16",25182,"AL ","Alabama","Non-metro",8,8,8,8
55.5,20642,20492,64.8,19364,67.9,20638,59,6385,90.9,4704,4696,31.5,3972,40.5,2426,49,29.8,31600,92.7,"Dallas County","2021-12-30","01047","D",15715,49.7,"15",14886,52.2,"16",15761,45,"15",7,4954,70.6,"16",42.4,"15",15761,"AL ","Alabama","Non-metro",7,8,8,7
39.5,28263,28091,46.4,26769,49.2,28261,42,8831,70.1,6165,6157,28.2,5288,38.3,3636,49.1,27,60601,92.7,"DeKalb County","2021-12-30","01049","D",22799,37.6,"14",21817,40.1,"15",22853,34,"14",6,7410,58.8,"15",32,"14",22853,"AL ","Alabama","Non-metro",6,7,7,6
